metric_or_feature,reference_mean,current_mean,mean_diff,abs_mean_diff,reference_std,current_std,std_ratio
Amount,89.0428963168428,89.0428963168428,0.0,0.0,247.6943154964056,247.6943154964056,1.0
Time,94528.92681085636,94528.92681085636,0.0,0.0,47486.00108976805,47486.00108976805,1.0
V1,-0.003181121802639703,-0.003181121802639703,0.0,0.0,1.957773415909433,1.957773415909433,1.0
V10,0.0015577425901575248,0.0015577425901575248,0.0,0.0,1.0991779044263772,1.0991779044263772,1.0
V11,0.0031489480354695153,0.0031489480354695153,0.0,0.0,1.026737677089113,1.026737677089113,1.0
V12,-0.010872368405432039,-0.010872368405432039,0.0,0.0,1.0098258633746966,1.0098258633746966,1.0
V13,0.001972460761730607,0.001972460761730607,0.0,0.0,0.9999433343669906,0.9999433343669906,1.0
V14,0.00023446690368309742,0.00023446690368309742,0.0,0.0,0.9689353868051223,0.9689353868051223,1.0
V15,-0.002976218910645751,-0.002976218910645751,0.0,0.0,0.9160023694576312,0.9160023694576312,1.0
V16,0.004279557250817129,0.004279557250817129,0.0,0.0,0.8842322534880874,0.8842322534880874,1.0
V17,-0.001560972563753861,-0.001560972563753861,0.0,0.0,0.8694440901378526,0.8694440901378526,1.0
V18,-0.00022494468655996568,-0.00022494468655996568,0.0,0.0,0.8353802921568776,0.8353802921568776,1.0
V19,-0.0026540098012828683,-0.0026540098012828683,0.0,0.0,0.8144746295572379,0.8144746295572379,1.0
V2,0.0019240294151216322,0.0019240294151216322,0.0,0.0,1.6601422544617601,1.6601422544617601,1.0
V20,0.00399570194118938,0.00399570194118938,0.0,0.0,0.7713884065225419,0.7713884065225419,1.0
V21,-0.0014789480173031187,-0.0014789480173031187,0.0,0.0,0.7327652932659793,0.7327652932659793,1.0
V22,-0.00121081089384604,-0.00121081089384604,0.0,0.0,0.7255645352191015,0.7255645352191015,1.0
V23,-0.00020155471135238043,-0.00020155471135238043,0.0,0.0,0.6124845921311053,0.6124845921311053,1.0
V24,0.0011090940251868402,0.0011090940251868402,0.0,0.0,0.6069456195062383,0.6069456195062383,1.0
V25,0.0026215504063817436,0.0026215504063817436,0.0,0.0,0.5214391234742528,0.5214391234742528,1.0
V26,-0.0005043747880136239,-0.0005043747880136239,0.0,0.0,0.48337667073966395,0.48337667073966395,1.0
V27,0.00028188987677639857,0.00028188987677639857,0.0,0.0,0.3983843118456876,0.3983843118456876,1.0
V28,-0.0006148759040250544,-0.0006148759040250544,0.0,0.0,0.3423701021065552,0.3423701021065552,1.0
V3,0.001532069394968862,0.001532069394968862,0.0,0.0,1.5200984998079383,1.5200984998079383,1.0
V4,7.8888560225785e-05,7.8888560225785e-05,0.0,0.0,1.4158745518089055,1.4158745518089055,1.0
V5,-0.000698328279266164,-0.000698328279266164,0.0,0.0,1.3829533015218771,1.3829533015218771,1.0
V6,0.004684683005332452,0.004684683005332452,0.0,0.0,1.336465946287461,1.336465946287461,1.0
V7,-0.0003069509879125082,-0.0003069509879125082,0.0,0.0,1.231730574855193,1.231730574855193,1.0
V8,0.0017356907340358874,0.0017356907340358874,0.0,0.0,1.2057665573769325,1.2057665573769325,1.0
V9,-0.002806990901766337,-0.002806990901766337,0.0,0.0,1.1037358192443403,1.1037358192443403,1.0
predicted_probability.mean,0.0855354019534457,0.0855354019534457,0.0,0.0,,,
predicted_probability.median,0.034027154000000004,0.034027154000000004,0.0,0.0,,,
predicted_probability.p90,0.23612958600000003,0.23612958600000003,0.0,0.0,,,
predicted_probability.p95,0.3571171494999999,0.3571171494999999,0.0,0.0,,,
predicted_probability.share_above_0_5,0.025350233488992662,0.025350233488992662,0.0,0.0,,,
predicted_probability.share_above_0_8,0.004915557740247885,0.004915557740247885,0.0,0.0,,,
predicted_probability.share_above_0_9,0.0021242231663214073,0.0021242231663214073,0.0,0.0,,,
predicted_probability.std,0.13390052840592018,0.13390052840592018,0.0,0.0,,,
uncertainty_std.mean,0.18648343824611768,0.18648343824611768,0.0,0.0,,,
uncertainty_std.median,0.16064051000000001,0.16064051000000001,0.0,0.0,,,
uncertainty_std.p90,0.384724413,0.384724413,0.0,0.0,,,
uncertainty_std.p95,0.4316401425,0.4316401425,0.0,0.0,,,
uncertainty_std.share_above_0_1,0.7235174326744145,0.7235174326744145,0.0,0.0,,,
uncertainty_std.share_above_0_2,0.38650328289034797,0.38650328289034797,0.0,0.0,,,
uncertainty_std.share_above_0_25,0.274937677750079,0.274937677750079,0.0,0.0,,,
uncertainty_std.std,0.12316755432254736,0.12316755432254736,0.0,0.0,,,
decision_share.ACCEPT,0.2707770092342263,0.2707770092342263,0.0,0.0,,,
decision_share.BLOCK,0.0015273340121484498,0.0015273340121484498,0.0,0.0,,,
decision_share.REVIEW,0.7276956567536252,0.7276956567536252,0.0,0.0,,,
